National holiday,Full_date
New Year's Day,2024-01-01
Easter,2024-03-31
Good Friday *,2024-03-29
Easter Monday,2024-04-01
Labour Day,2024-05-01
Victory Day,2024-05-08
Ascension Day,2024-05-09
Whit Monday,2024-05-20
Bastille Day,2024-07-14
Assumption Day,2024-08-15
All Saints' Day,2024-11-01
Armistice Day,2024-11-11
Christmas Day,2024-12-25
Boxing Day,2024-12-26
Mother's Day,2024-05-26
Father's Day,2024-06-16
New Year's Day,2025-01-01
Good Friday *,2025-04-18
Easter,2023-04-20
Easter Monday,2025-04-21
Labour Day,2025-05-01
Victory Day,2025-05-08
Ascension Day,2025-05-29
Whit Monday,2025-06-09
Bastille Day,2025-07-14
Assumption Day,2025-08-15
All Saints' Day,2025-11-01
Armistice Day,2025-11-11
Christmas Day,2025-12-25
Boxing Day,2025-12-26
Mother's Day,2025-05-25
Father's Day,2025-06-15
New Year's Day,2023-01-01
Good Friday *,2023-04-07
Easter,2023-04-09
Easter Monday,2023-04-10
Labour Day,2023-05-01
Victory Day,2023-05-08
Ascension Day,2023-05-18
Whit Sunday,2023-05-28
Whit Monday,2023-05-29
Bastille Day,2023-07-14
Assumption Day,2023-08-15
All Saints' Day,2023-11-01
Armistice Day,2023-11-11
Christmas Day,2023-12-25
St Stephen's Day *,2023-12-26
